Morphotype,Taxon,Taxon Common Names,Taxon Path,Phylum,Class,Genus,Subgenus,Kingdom,Suborder,Subspecies,Subfamily,Family,Species,Order,Subclass,Superfamily
P06,Porifera sp 4,,,Porifera,,,,Animalia,,,,,,,,
P07,Porifera sp 5,,,Porifera,,,,Animalia,,,,,,,,
P09,Porifera sp 6,,,Porifera,,,,Animalia,,,,,,,,
P04,Porifera sp 7,,,Porifera,,,,Animalia,,,,,,,,
CAO61,Primnoa cf pacifica var willeyi,,,Cnidaria,Octocorallia,Primnoa,,Animalia,,willeyi,,Primnoidae,pacifica,Scleralcyonacea ,,
CAO47,Primnoa cf wingi,,,Cnidaria,Octocorallia,Primnoa,,Animalia,,,,Primnoidae,wingi,Scleralcyonacea ,,
CAO35,Primnoidae sp 1,,,Cnidaria,Octocorallia,,,Animalia,,,,Primnoidae,,Scleralcyonacea ,,
CAO51,Primnoidae sp 2,,,Cnidaria,Octocorallia,,,Animalia,,,,Primnoidae,,Scleralcyonacea ,,
CAO52,Primnoidae sp 3,,,Cnidaria,Octocorallia,,,Animalia,,,,Primnoidae,,Scleralcyonacea ,,
CAO26,Pseudoanthomastus sp 1,,,Cnidaria,Octocorallia,Pseudoanthomastus,,Animalia,,,Anthomastinae,Corallidae,,Scleralcyonacea ,,
CAO56,Pseudoanthomastus sp 2,,,Cnidaria,Octocorallia,Pseudoanthomastus,,Animalia,,,Anthomastinae,Corallidae,,Scleralcyonacea ,,
CAO05,Pseudoanthomastus sp 3,,,Cnidaria,Octocorallia,Pseudoanthomastus,,Animalia,,,Anthomastinae,Corallidae,,Scleralcyonacea ,,
CAO13,Pseudoanthomastus spp,,,Cnidaria,Octocorallia,Pseudoanthomastus,,Animalia,,,Anthomastinae,Corallidae,,Scleralcyonacea ,,
CAO32,Pseudochrysogorgia sp 1,,,Cnidaria,Octocorallia,Pseudochrysogorgia ,,Animalia,,,,Chrysogorgiidae,,Scleralcyonacea ,,
CAO04,Radicipes stonei,,,Cnidaria,Octocorallia,Radicipes,,Animalia,,,,Chrysogorgiidae,stonei,Scleralcyonacea ,,
PH35,Regadrella sp 1,,,Porifera,Hexactinellida,Regadrella,,Animalia,,,Corbitellinae,Euplectellidae,,Lyssacinosida,Hexasterophora,
PH25,Rossellidae sp 3,,,Porifera,Hexactinellida,,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH02,Rossellidae sp 1,,,Porifera,Hexactinellida,,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH17,Rossellidae sp 2,,,Porifera,Hexactinellida,,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH47,Rossellidae sp 4,,,Porifera,Hexactinellida,,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH54,Rossellidae sp 5,,,Porifera,Hexactinellida,,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH37,Rossellidae sp 6,,,Porifera,Hexactinellida,,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH30,Sceptrulophora sp 1,,,Porifera,Hexactinellida,,,Animalia,,,,,,Sceptrulophora,Hexasterophora,
PH32,Sceptrulophora sp 2,,,Porifera,Hexactinellida,,,Animalia,,,,,,Sceptrulophora,Hexasterophora,
PD32,Tetractinellida sp 1,,,Porifera,Demospongiae,,,Animalia,Astrophorina,,,,,Tetractinellida,Heteroscleromorpha,
PD33,Tetractinellida sp 2,,,Porifera,Demospongiae,,,Animalia,Astrophorina,,,,,Tetractinellida,Heteroscleromorpha,
CAH16,Trissopathes sp 1,,,Cnidaria,Hexacorallia,Trissopathes,,Animalia,,,Cladopathinae ,Cladopathidae,,Antipatharia,,
CAH05,Trissopathes spp,,,Cnidaria,Hexacorallia,Trissopathes,,Animalia,,,Cladopathinae ,Cladopathidae,,Antipatharia,,
CAH10,Umbellapathes spp,,,Cnidaria,Hexacorallia,Umbellapathes,,Animalia,,,,Schizopathidae,,Antipatharia,,
CAO09,Umbellula cf lindahli,,,Cnidaria,Octocorallia,Umbellula,,Animalia,,,,Umbellulidae,lindahli,Scleralcyonacea ,,Pennatuloidea 
CAO07,Umbellula sp 1,,,Cnidaria,Octocorallia,Umbellula,,Animalia,,,,Umbellulidae,,Scleralcyonacea ,,Pennatuloidea 
PD14,Vulcanellidae sp 1,,,Porifera,Demospongiae,,,Animalia,Astrophorina,,,Vulcanellidae,,Tetractinellida,Heteroscleromorpha,
PD16,Vulcanellidae sp 2,,,Porifera,Demospongiae,,,Animalia,Astrophorina,,,Vulcanellidae,,Tetractinellida,Heteroscleromorpha,
